beneficiary_id,aadhaar_number,mobile_number,full_name,date_of_birth,target_default
NBC_140,100000000140,9000000140,Person_140,14-03-1998,0
NBC_141,100000000141,9000000141,Person_141,19-02-1969,0
NBC_142,100000000142,9000000142,Person_142,15-03-1993,0
NBC_143,100000000143,9000000143,Person_143,18-11-1965,0
NBC_144,100000000144,9000000144,Person_144,01-11-1975,0
NBC_145,100000000145,9000000145,Person_145,25-04-1978,0
NBC_146,100000000146,9000000146,Person_146,20-06-1970,0
NBC_147,100000000147,9000000147,Person_147,25-04-1988,1
NBC_148,100000000148,9000000148,Person_148,03-09-1989,0
NBC_149,100000000149,9000000149,Person_149,12-08-1997,0
NBC_150,100000000150,9000000150,Person_150,01-03-1990,1
NBC_151,100000000151,9000000151,Person_151,16-06-1976,0
NBC_152,100000000152,9000000152,Person_152,10-10-1999,1
NBC_153,100000000153,9000000153,Person_153,07-01-1980,1
NBC_154,100000000154,9000000154,Person_154,05-09-1968,1
NBC_155,100000000155,9000000155,Person_155,30-07-1999,1
NBC_156,100000000156,9000000156,Person_156,19-12-1975,1
NBC_157,100000000157,9000000157,Person_157,10-05-1986,0
NBC_158,100000000158,9000000158,Person_158,08-03-1983,1
NBC_159,100000000159,9000000159,Person_159,04-12-1971,0
NBC_160,100000000160,9000000160,Person_160,02-11-1968,1
NBC_161,100000000161,9000000161,Person_161,01-03-1966,0
NBC_162,100000000162,9000000162,Person_162,15-02-1995,1
NBC_163,100000000163,9000000163,Person_163,25-12-1981,1
NBC_164,100000000164,9000000164,Person_164,23-12-1985,1
NBC_165,100000000165,9000000165,Person_165,05-06-1976,0
NBC_166,100000000166,9000000166,Person_166,22-01-1993,0
NBC_167,100000000167,9000000167,Person_167,14-04-1977,0
NBC_168,100000000168,9000000168,Person_168,21-10-1984,1
NBC_169,100000000169,9000000169,Person_169,18-08-1979,0
NBC_170,100000000170,9000000170,Person_170,25-07-1979,0
NBC_171,100000000171,9000000171,Person_171,23-09-1977,0
NBC_172,100000000172,9000000172,Person_172,09-04-1998,1
NBC_173,100000000173,9000000173,Person_173,18-06-1970,0
NBC_174,100000000174,9000000174,Person_174,01-11-1984,0
NBC_175,100000000175,9000000175,Person_175,09-09-1988,0
NBC_176,100000000176,9000000176,Person_176,30-08-1997,0
NBC_177,100000000177,9000000177,Person_177,23-02-1969,0
NBC_178,100000000178,9000000178,Person_178,20-05-2000,0
NBC_179,100000000179,9000000179,Person_179,06-08-1991,0
NBC_180,100000000180,9000000180,Person_180,02-08-1976,0
NBC_181,100000000181,9000000181,Person_181,23-12-1968,0
NBC_182,100000000182,9000000182,Person_182,03-02-1967,1
NBC_183,100000000183,9000000183,Person_183,18-07-1996,0
NBC_184,100000000184,9000000184,Person_184,05-02-1981,1
NBC_185,100000000185,9000000185,Person_185,15-05-1968,0
NBC_186,100000000186,9000000186,Person_186,14-08-1974,0
NBC_187,100000000187,9000000187,Person_187,16-10-1977,0
NBC_188,100000000188,9000000188,Person_188,30-09-1988,0
NBC_189,100000000189,9000000189,Person_189,08-01-1972,1
NBC_190,100000000190,9000000190,Person_190,24-06-1987,0
NBC_191,100000000191,9000000191,Person_191,12-09-2000,0
NBC_192,100000000192,9000000192,Person_192,01-01-1974,0
NBC_193,100000000193,9000000193,Person_193,09-03-1999,0
NBC_194,100000000194,9000000194,Person_194,15-09-1994,1
NBC_195,100000000195,9000000195,Person_195,30-07-1994,0
NBC_196,100000000196,9000000196,Person_196,26-10-1996,1
NBC_197,100000000197,9000000197,Person_197,17-08-1983,0
NBC_198,100000000198,9000000198,Person_198,15-12-1988,1
NBC_199,100000000199,9000000199,Person_199,28-03-1987,0
NBC_200,100000000200,9000000200,Person_200,24-12-1989,1
NBC_201,100000000201,9000000201,Person_201,21-06-1980,0
NBC_202,100000000202,9000000202,Person_202,04-05-1994,0
NBC_203,100000000203,9000000203,Person_203,23-04-1989,0
NBC_204,100000000204,9000000204,Person_204,11-06-1998,1
NBC_205,100000000205,9000000205,Person_205,01-06-1994,0
NBC_206,100000000206,9000000206,Person_206,01-06-1976,0
NBC_207,100000000207,9000000207,Person_207,07-03-1972,1
NBC_208,100000000208,9000000208,Person_208,28-09-1969,1
NBC_209,100000000209,9000000209,Person_209,03-08-1969,0
NBC_210,100000000210,9000000210,Person_210,22-02-1980,0
NBC_211,100000000211,9000000211,Person_211,16-04-1993,0
NBC_212,100000000212,9000000212,Person_212,18-04-1994,0
NBC_213,100000000213,9000000213,Person_213,28-04-1998,0
NBC_214,100000000214,9000000214,Person_214,26-01-1973,0
NBC_215,100000000215,9000000215,Person_215,08-05-1983,1
NBC_216,100000000216,9000000216,Person_216,05-06-1977,1
NBC_217,100000000217,9000000217,Person_217,18-07-1988,1
NBC_218,100000000218,9000000218,Person_218,14-03-1988,1
NBC_219,100000000219,9000000219,Person_219,14-10-1972,0
NBC_220,100000000220,9000000220,Person_220,18-03-1966,0
